2.441891,3.526291,1,RGBA(0.595, 0.565, 0.510, 1.000)
-11.15036,4.648302,1,RGBA(0.012, 0.028, 0.009, 1.000)
-7.695894,4.666018,1,RGBA(0.725, 0.549, 0.655, 1.000)
3.621581,2.846658,1,RGBA(0.114, 0.052, 0.107, 1.000)
-3.864603,0.9283872,1,RGBA(0.360, 0.974, 0.945, 1.000)
-12.15588,2.455868,2,RGBA(0.361, 0.311, 0.383, 1.000)
-12.71996,4.82587,2,RGBA(0.498, 0.927, 0.370, 1.000)
-12.81515,3.056856,1,RGBA(0.087, 0.179, 0.309, 1.000)
-11.80653,-3.426949,1,RGBA(0.931, 0.806, 0.701, 1.000)
-11.5078,-1.359542,2,RGBA(0.387, 0.243, 0.125, 1.000)
3.124442,4.361074,2,RGBA(0.028, 0.247, 0.206, 1.000)
-9.383243,-2.395093,2,RGBA(0.449, 0.382, 0.387, 1.000)
12.8502,-3.761784,1,RGBA(0.725, 0.846, 0.802, 1.000)
11.74452,-0.9935122,1,RGBA(0.639, 0.285, 0.251, 1.000)
13.03673,-3.385516,2,RGBA(0.425, 0.293, 0.250, 1.000)
-2.318256,3.447666,1,RGBA(0.258, 0.440, 0.258, 1.000)
-0.4844933,2.336798,2,RGBA(0.078, 0.073, 0.029, 1.000)
-4.370008,-0.5625205,1,RGBA(0.120, 0.592, 0.379, 1.000)
2.833243,4.995544,2,RGBA(0.675, 0.654, 0.264, 1.000)
11.17071,1.588347,1,RGBA(0.034, 0.035, 0.034, 1.000)
-1.839463,1.78601,2,RGBA(0.160, 0.148, 0.045, 1.000)
3.22612,-2.042654,3,RGBA(0.308, 0.313, 0.310, 1.000)
